date,value
2023-01-01,396.32
2023-02-01,386.69
2023-03-01,382.66
2023-04-01,381.76
2023-05-01,390.84
2023-06-01,395.12
2023-07-01,392.15
2023-08-01,398.41
2023-09-01,384.2
2023-10-01,403.8
2023-11-01,376.03
2023-12-01,418.8
2024-01-01,385.39
2024-02-01,361.14
2024-03-01,355.94
2024-04-01,377.24
2024-05-01,364.65
2024-06-01,376.71
2024-07-01,371.1
2024-08-01,360.91
2024-09-01,347.3
2024-10-01,335.28
2024-11-01,349.3
2024-12-01,366.85
